-0.301,0.213,0.004
-0.301,0.213,0.004
-0.301,0.213,0.004
-0.302,0.214,0.004
-0.302,0.214,0.004
-0.302,0.215,0.004
-0.302,0.215,0.004
-0.303,0.215,0.004
-0.303,0.215,0.004
-0.303,0.216,0.004
-0.303,0.216,0.004
-0.303,0.216,0.004
-0.303,0.216,0.004
-0.303,0.217,0.004
-0.304,0.217,0.004
-0.304,0.217,0.004
-0.304,0.217,0.004
-0.304,0.218,0.004
-0.304,0.218,0.004
-0.304,0.218,0.004
-0.304,0.218,0.004
-0.304,0.219,0.004
-0.304,0.219,0.004
-0.304,0.219,0.004
-0.304,0.219,0.004
-0.304,0.219,0.004
-0.304,0.219,0.004
-0.304,0.219,0.004
-0.305,0.219,0.004
-0.316,0.202,0.027
-0.316,0.202,0.033
-0.316,0.201,0.044
-0.317,0.201,0.056
-0.317,0.201,0.069
-0.316,0.201,0.082
-0.316,0.202,0.094
-0.316,0.202,0.103
-0.315,0.203,0.111
-0.315,0.204,0.116
-0.315,0.205,0.119
-0.314,0.206,0.120
-0.314,0.207,0.120
-0.313,0.208,0.119
-0.313,0.209,0.117
-0.313,0.210,0.113
-0.313,0.211,0.108
-0.312,0.212,0.102
-0.313,0.212,0.094
-0.313,0.213,0.085
-0.313,0.213,0.074
-0.313,0.213,0.061
-0.314,0.212,0.048
-0.314,0.212,0.035
-0.314,0.212,0.023
-0.314,0.212,0.013
-0.315,0.211,0.006
-0.315,0.211,0.004
-0.316,0.210,0.004
-0.316,0.210,0.004
-0.316,0.210,0.004
-0.316,0.210,0.004
-0.316,0.210,0.004
-0.317,0.209,0.004
-0.317,0.209,0.004
-0.317,0.209,0.004
-0.317,0.209,0.004
-0.317,0.208,0.004
-0.318,0.208,0.004
-0.318,0.208,0.004
-0.318,0.208,0.004
-0.319,0.209,0.004
-0.319,0.209,0.004
-0.319,0.209,0.004
-0.320,0.209,0.004
-0.320,0.209,0.004
-0.321,0.209,0.004
-0.321,0.209,0.004
-0.321,0.210,0.004
-0.322,0.210,0.004
-0.322,0.210,0.004
-0.322,0.210,0.004
-0.322,0.211,0.004
-0.323,0.211,0.004
-0.323,0.211,0.004
-0.323,0.212,0.004
-0.323,0.212,0.004
-0.324,0.212,0.004
-0.324,0.213,0.004
-0.324,0.213,0.004
-0.324,0.213,0.004
-0.324,0.213,0.004
-0.324,0.213,0.004
-0.325,0.213,0.004
-0.325,0.214,0.004
-0.325,0.214,0.004
-0.325,0.214,0.004
-0.325,0.214,0.004
-0.325,0.214,0.004
-0.325,0.214,0.004
-0.325,0.215,0.004
